Date, Price
Nov 25, 2016:19.84
Feb 09, 2016;13.39
Feb 08, 2016;13.45
Feb 05, 2016;13.27
Feb 04, 2016;12.89
Feb 03, 2016;12.89
Feb 02, 2016;12.99
Feb 01, 2016;12.83
Jan 29, 2016;13.14
Jan 28, 2016;13.25
Jan 27, 2016;13.58
Jan 26, 2016;14.02
Jan 25, 2016;14.10
Jan 22, 2016;14.42
Jan 21, 2016;14.45
Jan 20, 2016;14.18
Jan 19, 2016;14.75
Jan 17, 2016;14.85
Jan 15, 2016;14.92
Jan 14, 2016;14.88
Jan 13, 2016;14.47
Jan 12, 2016;14.05
Jan 11, 2016;14.15
Jan 08, 2016;14.46
Jan 07, 2016;14.75
Jan 06, 2016;14.42
Jan 05, 2016;14.57
Jan 04, 2016;14.97
Dec 31, 2015;15.24
Dec 30, 2015;15.15
Dec 29, 2015;14.78
Dec 28, 2015;14.76
Dec 27, 2015;15.05
Dec 24, 2015;15.06
Dec 23, 2015;15.15
Dec 22, 2015;15.04
Dec 21, 2015;14.97
Dec 18, 2015;15.10
Dec 17, 2015;14.70
Dec 16, 2015;14.59
Dec 15, 2015;14.59
Dec 14, 2015;14.51
Dec 11, 2015;14.58
Dec 10, 2015;14.55
Dec 09, 2015;15.09
Dec 08, 2015;15.00
Dec 07, 2015;15.30
Dec 04, 2015;15.48
Dec 03, 2015;15.58
Dec 02, 2015;15.34
Dec 01, 2015;15.44
Nov 30, 2015;14.93
Nov 27, 2015;14.97
Nov 25, 2015;14.91
Nov 24, 2015;15.00
Nov 23, 2015;15.41
Nov 20, 2015;15.30
Nov 19, 2015;14.95
Nov 18, 2015;14.47
Nov 17, 2015;14.78
Nov 16, 2015;15.18
Nov 13, 2015;15.04
Nov 12, 2015;14.97
Nov 11, 2015;14.69
Nov 10, 2015;14.71
Nov 09, 2015;13.99
Nov 06, 2015;14.46
Nov 05, 2015;14.76
Nov 04, 2015;14.64
Nov 03, 2015;15.49
Nov 02, 2015;15.11
Oct 30, 2015;14.52
Oct 29, 2015;14.56
Oct 28, 2015;14.65
Oct 27, 2015;14.42
Oct 26, 2015;14.64
Oct 23, 2015;14.28
Oct 22, 2015;14.60
Oct 21, 2015;14.18
Oct 20, 2015;14.06
Oct 19, 2015;14.26
Oct 16, 2015;14.27
Oct 15, 2015;14.13
Oct 14, 2015;14.09
Oct 13, 2015;13.83
Oct 12, 2015;14.24
Oct 09, 2015;14.34
Oct 08, 2015;14.01
Oct 07, 2015;13.98
Oct 06, 2015;13.63
Oct 05, 2015;13.64
Oct 02, 2015;13.53
Oct 01, 2015;13.26
Sep 30, 2015;12.17
Sep 29, 2015;11.76
Sep 28, 2015;11.75
Sep 25, 2015;11.74
Sep 24, 2015;11.19
Sep 23, 2015;10.95
Sep 22, 2015;10.88
Sep 21, 2015;10.93
Sep 18, 2015;10.96
Sep 17, 2015;11.44
Sep 16, 2015;11.47
Sep 15, 2015;11.40
Sep 14, 2015;11.50
Sep 11, 2015;11.66
Sep 10, 2015;11.33
Sep 09, 2015;11.43
Sep 08, 2015;11.07
Sep 04, 2015;11.27
Sep 03, 2015;11.34
Sep 02, 2015;10.73
Sep 01, 2015;10.71
Aug 31, 2015;10.69
Aug 28, 2015;10.97
Aug 27, 2015;11.06
Aug 26, 2015;10.53
Aug 25, 2015;10.60
Aug 24, 2015;10.39
Aug 21, 2015;10.44
Aug 20, 2015;10.62
Aug 19, 2015;10.59
Aug 18, 2015;10.73
Aug 17, 2015;10.63
Aug 14, 2015;10.68
Aug 13, 2015;10.49
Aug 12, 2015;10.54
Aug 11, 2015;10.62
Aug 10, 2015;10.57
Aug 07, 2015;10.66
Aug 06, 2015;10.70
Aug 05, 2015;10.76
Aug 04, 2015;11.01
Aug 03, 2015;10.89
Jul 31, 2015;11.14
Jul 30, 2015;11.27
Jul 29, 2015;11.46
Jul 28, 2015;11.17
Jul 27, 2015;11.24
Jul 24, 2015;11.24
Jul 23, 2015;11.51
Jul 22, 2015;11.38
Jul 21, 2015;11.42
Jul 20, 2015;11.44
Jul 17, 2015;11.96
Jul 16, 2015;12.27
Jul 15, 2015;12.46
Jul 14, 2015;12.64
Jul 13, 2015;12.56
Jul 10, 2015;12.41
Jul 09, 2015;11.90
Jul 08, 2015;12.31
Jul 07, 2015;12.33
Jul 06, 2015;12.48
Jul 03, 2015;12.28
Jul 02, 2015;12.30
Jul 01, 2015;12.44
Jun 30, 2015;12.28
Jun 29, 2015;11.82
Jun 26, 2015;11.67
Jun 25, 2015;11.52
Jun 24, 2015;11.51
Jun 23, 2015;11.25
Jun 22, 2015;11.48
Jun 19, 2015;11.12
Jun 18, 2015;11.25
Jun 17, 2015;11.35
Jun 16, 2015;11.31
Jun 15, 2015;11.46
Jun 12, 2015;11.72
Jun 11, 2015;11.64
Jun 10, 2015;12.01
Jun 09, 2015;12.07
Jun 08, 2015;12.16
Jun 05, 2015;12.05
Jun 04, 2015;12.12
Jun 03, 2015;12.05
Jun 02, 2015;12.32
Jun 01, 2015;12.25
May 29, 2015;11.98
May 28, 2015;11.94
May 27, 2015;11.87
May 26, 2015;12.08
May 22, 2015;12.31
May 21, 2015;12.49
May 20, 2015;12.59
May 19, 2015;12.86
May 18, 2015;12.78
May 15, 2015;12.89
May 14, 2015;12.84
May 13, 2015;12.96
May 12, 2015;13.58
May 11, 2015;13.48
May 08, 2015;13.42
May 07, 2015;12.96
May 06, 2015;12.87
May 05, 2015;12.75
May 04, 2015;12.51
May 01, 2015;12.91
Apr 30, 2015;12.98
Apr 29, 2015;13.09
Apr 28, 2015;13.17
Apr 27, 2015;13.31
Apr 24, 2015;13.23
Apr 23, 2015;13.09
Apr 22, 2015;12.66
Apr 21, 2015;12.41
Apr 20, 2015;12.69
Apr 17, 2015;13.24
Apr 16, 2015;13.43
Apr 15, 2015;13.00
Apr 14, 2015;13.19
Apr 13, 2015;13.01
Apr 10, 2015;12.83
Apr 09, 2015;12.80
Apr 08, 2015;12.97
Apr 07, 2015;12.77
Apr 06, 2015;12.54
Apr 02, 2015;12.74
Apr 01, 2015;12.32
Mar 31, 2015;11.93
Mar 30, 2015;11.99
Mar 27, 2015;12.13
Mar 26, 2015;12.34
Mar 25, 2015;12.52
Mar 24, 2015;12.45
Mar 23, 2015;12.74
Mar 20, 2015;12.68
Mar 19, 2015;12.62
Mar 18, 2015;12.73
Mar 17, 2015;12.82
Mar 16, 2015;12.90
Mar 13, 2015;12.70
Mar 12, 2015;13.21
Mar 11, 2015;13.14
Mar 10, 2015;13.02
Mar 09, 2015;13.27
Mar 06, 2015;13.44
Mar 05, 2015;13.44
Mar 04, 2015;13.34
Mar 03, 2015;13.45
Mar 02, 2015;13.64
Feb 27, 2015;13.93
Feb 26, 2015;14.08
Feb 25, 2015;13.79
Feb 24, 2015;14.17
Feb 23, 2015;14.31
Feb 20, 2015;14.39
Feb 19, 2015;14.68
Feb 18, 2015;15.09
Feb 17, 2015;15.14
Feb 13, 2015;14.88
Feb 12, 2015;15.04
Feb 11, 2015;14.71
Feb 10, 2015;14.71
Feb 09, 2015;14.82
Feb 06, 2015;14.51
Feb 05, 2015;14.41
Feb 04, 2015;14.45
Feb 03, 2015;14.47
Feb 02, 2015;14.22
Jan 30, 2015;14.79
Jan 29, 2015;14.85
Jan 28, 2015;15.16
Jan 27, 2015;15.16
Jan 26, 2015;15.35
Jan 23, 2015;15.17
Jan 22, 2015;15.91
Jan 21, 2015;15.92
Jan 20, 2015;15.83
Jan 16, 2015;15.33
Jan 15, 2015;15.35
Jan 14, 2015;14.93
Jan 13, 2015;14.87
Jan 12, 2015;14.76
Jan 09, 2015;14.91
Jan 08, 2015;14.88
Jan 07, 2015;14.78
Jan 06, 2015;14.87
Jan 05, 2015;14.26
Jan 02, 2015;14.17
Dec 31, 2014;14.52
Dec 30, 2014;14.61
Dec 29, 2014;14.60
Dec 28, 2014;14.71
Dec 26, 2014;14.70
Dec 24, 2014;14.76
Dec 23, 2014;14.83
Dec 22, 2014;14.86
Dec 21, 2014;14.94
Dec 19, 2014;14.98
Dec 18, 2014;14.99
Dec 17, 2014;14.72
Dec 16, 2014;14.71
Dec 15, 2014;14.96
Dec 14, 2014;14.99
Dec 12, 2014;14.98
Dec 11, 2014;15.15
Dec 10, 2014;15.47
Dec 09, 2014;15.42
Dec 08, 2014;15.30
Dec 07, 2014;15.14
Dec 05, 2014;15.14
Dec 04, 2014;15.21
Dec 03, 2014;15.09
Dec 02, 2014;15.24
Dec 01, 2014;15.59
Nov 30, 2014;15.58
Nov 28, 2014;15.59
Nov 27, 2014;16.14
Nov 26, 2014;16.12
Nov 25, 2014;16.00
Nov 24, 2014;16.00
Nov 21, 2014;16.09
Nov 20, 2014;16.10
Nov 19, 2014;15.87
Nov 18, 2014;15.71
Nov 17, 2014;15.77
Nov 14, 2014;15.90
Nov 13, 2014;16.01
Nov 12, 2014;16.36
Nov 11, 2014;16.23
Nov 10, 2014;15.66
Nov 07, 2014;15.69
Nov 06, 2014;15.48
Nov 05, 2014;15.51
Nov 04, 2014;15.68
Nov 03, 2014;15.93
Oct 31, 2014;16.04
Oct 30, 2014;16.30
Oct 29, 2014;16.30
Oct 28, 2014;16.13
Oct 27, 2014;16.03
Oct 24, 2014;16.38
Oct 23, 2014;16.16
Oct 22, 2014;16.50
Oct 21, 2014;16.44
Oct 20, 2014;16.68
Oct 17, 2014;16.62
Oct 16, 2014;16.67
Oct 15, 2014;16.50
Oct 14, 2014;16.81
Oct 13, 2014;16.67
Oct 10, 2014;16.55
Oct 09, 2014;16.70
Oct 08, 2014;16.92
Oct 07, 2014;17.03
Oct 06, 2014;16.98
Oct 03, 2014;16.44
Oct 02, 2014;16.05
Oct 01, 2014;16.04
Sep 30, 2014;15.48
Sep 29, 2014;15.66
Sep 26, 2014;15.41
Sep 25, 2014;14.70
Sep 24, 2014;14.62
Sep 23, 2014;14.15
Sep 22, 2014;14.08
Sep 19, 2014;13.50
Sep 18, 2014;13.79
Sep 17, 2014;13.88
Sep 16, 2014;13.55
Sep 15, 2014;13.67
Sep 12, 2014;13.78
Sep 11, 2014;14.36
Sep 10, 2014;14.52
Sep 09, 2014;14.88
Sep 08, 2014;14.94
Sep 05, 2014;15.00
Sep 04, 2014;15.13
Sep 03, 2014;15.62
Sep 02, 2014;15.82
Aug 29, 2014;15.49
Aug 28, 2014;15.56
Aug 27, 2014;15.58
Aug 26, 2014;15.71
Aug 25, 2014;15.36
Aug 22, 2014;15.64
Aug 21, 2014;15.99
Aug 20, 2014;15.70
Aug 19, 2014;15.47
Aug 18, 2014;15.68
Aug 15, 2014;15.92
Aug 14, 2014;15.91
Aug 13, 2014;16.02
Aug 12, 2014;16.05
Aug 11, 2014;16.24
Aug 08, 2014;16.14
Aug 07, 2014;16.05
Aug 06, 2014;16.32
Aug 05, 2014;16.13
Aug 04, 2014;16.32
Aug 03, 2014;16.31
Aug 01, 2014;16.35
Jul 31, 2014;16.46
Jul 30, 2014;16.63
Jul 29, 2014;16.62
Jul 28, 2014;16.94
Jul 25, 2014;17.14
Jul 24, 2014;17.05
Jul 23, 2014;16.96
Jul 22, 2014;17.16
Jul 21, 2014;17.28
Jul 18, 2014;16.97
Jul 17, 2014;16.92
Jul 16, 2014;17.07
Jul 15, 2014;17.21
Jul 14, 2014;17.19
Jul 11, 2014;17.07
Jul 10, 2014;17.29
Jul 09, 2014;17.42
Jul 08, 2014;17.68
Jul 07, 2014;17.51
Jul 06, 2014;17.82
Jul 03, 2014;17.81
Jul 02, 2014;17.87
Jul 01, 2014;17.80
Jun 30, 2014;16.62
Jun 27, 2014;16.85
Jun 26, 2014;17.57
Jun 25, 2014;17.72
Jun 24, 2014;17.81
Jun 23, 2014;17.85
Jun 20, 2014;17.92
Jun 19, 2014;17.94
Jun 18, 2014;17.53
Jun 17, 2014;17.06
Jun 16, 2014;17.10
Jun 13, 2014;17.04
Jun 12, 2014;16.70
Jun 11, 2014;16.81
Jun 10, 2014;16.97
Jun 09, 2014;16.98
Jun 06, 2014;16.92
Jun 05, 2014;16.83
Jun 04, 2014;17.04
Jun 03, 2014;17.19
Jun 02, 2014;17.18
May 30, 2014;17.38
May 29, 2014;17.48
May 28, 2014;17.11
May 27, 2014;17.02
May 23, 2014;17.37
May 22, 2014;17.38
May 21, 2014;17.44
May 20, 2014;17.58
May 19, 2014;17.77
May 16, 2014;17.91
May 15, 2014;18.20
May 14, 2014;18.25
May 13, 2014;17.80
May 12, 2014;17.29
May 11, 2014;17.17
May 09, 2014;17.20
May 08, 2014;17.24
May 07, 2014;17.26
May 06, 2014;17.20
May 05, 2014;17.47
May 02, 2014;17.45
May 01, 2014;17.80
Apr 30, 2014;17.24
Apr 29, 2014;17.04
Apr 28, 2014;16.94
Apr 25, 2014;17.20
Apr 24, 2014;17.12
Apr 23, 2014;17.42
Apr 22, 2014;16.99
Apr 21, 2014;16.84
Apr 17, 2014;16.66
Apr 16, 2014;16.92
Apr 15, 2014;16.56
Apr 14, 2014;16.59
Apr 11, 2014;16.80
Apr 10, 2014;17.08
Apr 09, 2014;17.04
Apr 08, 2014;17.16
Apr 07, 2014;16.94
Apr 04, 2014;17.35
Apr 03, 2014;17.18
Apr 02, 2014;16.97
Apr 01, 2014;17.18
Mar 31, 2014;17.77
Mar 28, 2014;17.98
Mar 27, 2014;17.87
Mar 26, 2014;17.36
Mar 25, 2014;16.97
Mar 24, 2014;16.84
Mar 21, 2014;16.83
Mar 20, 2014;17.05
Mar 19, 2014;17.32
Mar 18, 2014;17.14
Mar 17, 2014;17.05
Mar 14, 2014;17.25
Mar 13, 2014;17.82
