Date, Index
Jan 06, 2013;79.61
Dec 30, 2012;80.61
Dec 23, 2012;79.78
Dec 16, 2012;79.71
Dec 09, 2012;79.56
Dec 02, 2012;80.40
Nov 25, 2012;80.16
Nov 18, 2012;80.24
Nov 11, 2012;81.31
Nov 04, 2012;81.10
Oct 28, 2012;80.68
Oct 21, 2012;80.16
Oct 14, 2012;79.69
Oct 07, 2012;79.74
Sep 30, 2012;79.43
Sep 23, 2012;80.03
Sep 16, 2012;79.40
Sep 09, 2012;78.84
Sep 02, 2012;80.23
Aug 26, 2012;81.22
Aug 19, 2012;81.60
Aug 12, 2012;82.66
Aug 05, 2012;82.63
Jul 29, 2012;82.45
Jul 22, 2012;82.77
Jul 15, 2012;83.57
Jul 08, 2012;83.47
Jul 01, 2012;83.56
Jun 24, 2012;81.75
Jun 17, 2012;82.44
Jun 10, 2012;81.61
Jun 03, 2012;82.56
May 27, 2012;82.97
May 20, 2012;82.52
May 13, 2012;81.42
May 06, 2012;80.40
Apr 29, 2012;79.59
Apr 22, 2012;78.76
Apr 15, 2012;79.31
Apr 08, 2012;80.06
Apr 01, 2012;80.29
Mar 25, 2012;79.14
Mar 18, 2012;79.58
Mar 11, 2012;79.73
Mar 04, 2012;80.08
Feb 26, 2012;79.46
Feb 19, 2012;78.40
Feb 12, 2012;79.46
Feb 05, 2012;79.23
Jan 29, 2012;79.06
Jan 22, 2012;79.01
Jan 15, 2012;80.41
Jan 08, 2012;81.79
Jan 01, 2012;81.60
Dec 25, 2011;80.52
Dec 18, 2011;80.24
Dec 11, 2011;80.25
Dec 04, 2011;78.68
Nov 27, 2011;78.73
Nov 20, 2011;79.83
Nov 13, 2011;78.25
Nov 06, 2011;77.13
Oct 30, 2011;77.16
Oct 23, 2011;75.22
Oct 16, 2011;76.63
Oct 09, 2011;76.91
Oct 02, 2011;79.15
Sep 25, 2011;79.08
Sep 18, 2011;79.23
Sep 11, 2011;76.59
Sep 04, 2011;77.30
Aug 28, 2011;74.84
Aug 21, 2011;73.87
Aug 14, 2011;74.11
Aug 07, 2011;74.74
Jul 31, 2011;74.80
Jul 24, 2011;74.04
Jul 17, 2011;74.41
Jul 10, 2011;75.52
Jul 03, 2011;75.51
Jun 26, 2011;74.67
Jun 19, 2011;76.21
Jun 12, 2011;75.46
Jun 05, 2011;74.80
May 29, 2011;73.81
May 22, 2011;75.02
May 15, 2011;75.58
May 08, 2011;75.94
May 01, 2011;75.08
Apr 24, 2011;73.11
Apr 17, 2011;74.18
Apr 10, 2011;75.03
Apr 03, 2011;75.27
Mar 27, 2011;76.08
Mar 20, 2011;76.48
Mar 13, 2011;75.97
Mar 06, 2011;76.77
Feb 27, 2011;76.42
Feb 20, 2011;77.30
Feb 13, 2011;77.72
Feb 06, 2011;78.56
Jan 30, 2011;78.16
Jan 23, 2011;78.28
Jan 16, 2011;78.37
Jan 09, 2011;79.37
Jan 02, 2011;81.32
Dec 26, 2010;79.29
Dec 19, 2010;80.83
Dec 12, 2010;80.75
Dec 05, 2010;80.07
Nov 28, 2010;79.41
Nov 21, 2010;80.43
Nov 14, 2010;78.59
Nov 07, 2010;78.23
Oct 31, 2010;76.69
Oct 24, 2010;77.46
Oct 17, 2010;77.69
Oct 10, 2010;77.27
Oct 03, 2010;77.56
Sep 26, 2010;78.31
Sep 19, 2010;79.60
Sep 12, 2010;81.64
Sep 05, 2010;82.70
Aug 29, 2010;82.12
Aug 22, 2010;82.97
Aug 15, 2010;83.16
Aug 08, 2010;83.04
Aug 01, 2010;80.50
Jul 25, 2010;81.66
Jul 18, 2010;82.63
Jul 11, 2010;82.66
Jul 04, 2010;84.15
Jun 27, 2010;84.67
Jun 20, 2010;85.58
Jun 13, 2010;85.98
Jun 06, 2010;87.52
May 30, 2010;88.31
May 23, 2010;86.58
May 16, 2010;85.54
May 09, 2010;86.23
May 02, 2010;84.66
Apr 25, 2010;81.99
Apr 18, 2010;81.50
Apr 11, 2010;80.94
Apr 04, 2010;81.24
Mar 28, 2010;81.44
Mar 21, 2010;81.98
Mar 14, 2010;80.97
Mar 07, 2010;79.84
Feb 28, 2010;80.46
Feb 21, 2010;80.44
Feb 14, 2010;80.72
Feb 07, 2010;80.41
Jan 31, 2010;80.59
Jan 24, 2010;79.65
Jan 17, 2010;78.43
Jan 10, 2010;77.48
