Date, Index
Feb 16, 2016;96.88
Feb 15, 2016;95.98
Feb 12, 2016;95.98
Feb 11, 2016;95.62
Feb 10, 2016;95.94
Feb 09, 2016;96.09
Feb 08, 2016;96.58
Feb 05, 2016;97.05
Feb 04, 2016;96.49
Feb 03, 2016;97.30
Feb 02, 2016;98.89
Feb 01, 2016;99.03
Jan 29, 2016;99.65
Jan 28, 2016;98.54
Jan 27, 2016;98.95
Jan 26, 2016;99.13
Jan 25, 2016;99.41
Jan 22, 2016;99.65
Jan 21, 2016;99.13
Jan 20, 2016;99.17
Jan 19, 2016;99.04
Jan 18, 2016;99.02
Jan 15, 2016;99.02
Jan 14, 2016;99.16
Jan 13, 2016;98.98
Jan 12, 2016;99.02
Jan 11, 2016;98.78
Jan 08, 2016;98.60
Jan 07, 2016;98.27
Jan 06, 2016;99.27
Jan 05, 2016;99.50
Jan 04, 2016;98.97
Dec 31, 2015;98.75
Dec 30, 2015;98.35
Dec 29, 2015;98.17
Dec 28, 2015;97.95
Dec 24, 2015;98.02
Dec 23, 2015;98.37
Dec 22, 2015;98.24
Dec 21, 2015;98.37
Dec 18, 2015;98.73
Dec 17, 2015;99.32
Dec 16, 2015;97.88
Dec 15, 2015;98.29
Dec 14, 2015;97.47
Dec 11, 2015;97.55
Dec 10, 2015;97.96
Dec 09, 2015;97.33
Dec 08, 2015;98.47
Dec 07, 2015;98.67
Dec 04, 2015;98.34
Dec 03, 2015;97.63
Dec 02, 2015;100.02
Dec 01, 2015;99.84
Nov 30, 2015;100.21
Nov 27, 2015;100.07
Nov 26, 2015;99.83
Nov 25, 2015;99.83
Nov 24, 2015;99.59
Nov 23, 2015;99.86
Nov 20, 2015;99.62
Nov 19, 2015;99.06
Nov 18, 2015;99.75
Nov 17, 2015;99.70
Nov 16, 2015;99.54
Nov 13, 2015;99.10
Nov 12, 2015;98.71
Nov 11, 2015;99.16
Nov 10, 2015;99.39
Nov 09, 2015;99.08
Nov 06, 2015;99.26
Nov 05, 2015;98.05
Nov 04, 2015;98.03
Nov 03, 2015;97.24
Nov 02, 2015;97.00
Oct 30, 2015;97.02
Oct 29, 2015;97.36
Oct 28, 2015;97.86
Oct 27, 2015;96.99
Oct 26, 2015;96.95
Oct 23, 2015;97.24
Oct 22, 2015;96.45
Oct 21, 2015;95.07
Oct 20, 2015;94.94
Oct 19, 2015;94.95
Oct 16, 2015;94.59
Oct 15, 2015;94.43
Oct 14, 2015;93.96
Oct 13, 2015;94.79
Oct 12, 2015;94.77
Oct 09, 2015;94.88
Oct 08, 2015;95.41
Oct 07, 2015;95.58
Oct 06, 2015;95.56
Oct 05, 2015;96.24
Oct 02, 2015;95.97
Oct 01, 2015;96.33
Sep 30, 2015;96.48
Sep 29, 2015;95.99
Sep 28, 2015;96.18
Sep 25, 2015;96.43
Sep 24, 2015;96.15
Sep 23, 2015;96.21
Sep 22, 2015;96.45
Sep 21, 2015;96.03
Sep 18, 2015;95.00
Sep 17, 2015;94.68
Sep 16, 2015;95.55
Sep 15, 2015;95.78
Sep 14, 2015;95.36
Sep 11, 2015;95.19
Sep 10, 2015;95.44
Sep 09, 2015;96.01
Sep 08, 2015;95.99
Sep 07, 2015;96.24
Sep 04, 2015;96.24
Sep 03, 2015;96.42
Sep 02, 2015;95.84
Sep 01, 2015;95.45
Aug 31, 2015;95.85
Aug 28, 2015;96.14
Aug 27, 2015;95.65
Aug 26, 2015;95.13
Aug 25, 2015;94.54
Aug 24, 2015;93.36
Aug 21, 2015;95.00
Aug 20, 2015;96.00
Aug 19, 2015;96.37
Aug 18, 2015;97.07
Aug 17, 2015;96.81
Aug 14, 2015;96.53
Aug 13, 2015;96.46
Aug 12, 2015;96.30
Aug 11, 2015;97.33
Aug 10, 2015;97.20
Aug 07, 2015;97.62
Aug 06, 2015;97.91
Aug 05, 2015;98.03
Aug 04, 2015;98.02
Aug 03, 2015;97.62
Jul 31, 2015;97.44
Jul 30, 2015;97.69
Jul 29, 2015;97.08
Jul 28, 2015;96.86
Jul 27, 2015;96.61
Jul 24, 2015;97.35
Jul 23, 2015;97.23
Jul 22, 2015;97.72
Jul 21, 2015;97.43
Jul 20, 2015;98.16
Jul 17, 2015;97.99
Jul 16, 2015;97.81
Jul 15, 2015;97.28
Jul 14, 2015;96.78
Jul 13, 2015;97.00
Jul 10, 2015;96.17
Jul 09, 2015;96.79
Jul 08, 2015;96.47
Jul 07, 2015;97.08
Jul 06, 2015;96.48
Jul 03, 2015;96.29
Jul 02, 2015;96.29
Jul 01, 2015;96.51
Jun 30, 2015;95.66
Jun 29, 2015;94.95
Jun 26, 2015;95.65
Jun 25, 2015;95.39
Jun 24, 2015;95.42
Jun 23, 2015;95.64
Jun 22, 2015;94.52
Jun 19, 2015;94.27
Jun 18, 2015;94.24
Jun 17, 2015;94.49
Jun 16, 2015;95.26
Jun 15, 2015;95.13
Jun 12, 2015;94.99
Jun 11, 2015;94.98
Jun 10, 2015;94.65
Jun 09, 2015;95.17
Jun 08, 2015;95.32
Jun 05, 2015;96.36
Jun 04, 2015;95.49
Jun 03, 2015;95.51
Jun 02, 2015;95.88
Jun 01, 2015;97.47
May 29, 2015;96.99
May 28, 2015;97.06
May 27, 2015;97.47
May 26, 2015;97.41
May 25, 2015;96.11
May 22, 2015;96.11
May 21, 2015;95.33
May 20, 2015;95.51
May 19, 2015;95.36
May 18, 2015;94.27
May 15, 2015;93.18
May 14, 2015;93.50
May 13, 2015;93.64
May 12, 2015;94.61
May 11, 2015;95.10
May 08, 2015;94.90
May 07, 2015;94.75
May 06, 2015;94.17
May 05, 2015;95.20
May 04, 2015;95.64
May 01, 2015;95.44
Apr 30, 2015;94.71
Apr 29, 2015;95.32
Apr 28, 2015;96.19
Apr 27, 2015;96.94
Apr 24, 2015;97.10
Apr 23, 2015;97.45
Apr 22, 2015;98.14
Apr 21, 2015;98.20
Apr 20, 2015;98.16
Apr 17, 2015;97.71
Apr 16, 2015;97.61
Apr 15, 2015;98.53
Apr 14, 2015;98.94
Apr 13, 2015;99.77
Apr 10, 2015;99.60
Apr 09, 2015;99.39
Apr 08, 2015;98.13
Apr 07, 2015;98.06
Apr 06, 2015;96.96
Apr 03, 2015;96.80
Apr 02, 2015;97.67
Apr 01, 2015;98.47
Mar 31, 2015;98.66
Mar 30, 2015;98.28
Mar 27, 2015;97.52
Mar 26, 2015;97.68
Mar 25, 2015;97.20
Mar 24, 2015;97.45
Mar 23, 2015;97.30
Mar 20, 2015;98.17
Mar 19, 2015;99.58
Mar 18, 2015;98.78
Mar 17, 2015;99.95
Mar 16, 2015;99.48
Mar 13, 2015;100.31
Mar 12, 2015;99.41
Mar 11, 2015;99.78
Mar 10, 2015;98.61
Mar 09, 2015;97.58
Mar 06, 2015;97.60
Mar 05, 2015;96.39
Mar 04, 2015;95.99
Mar 03, 2015;95.41
Mar 02, 2015;95.48
Feb 27, 2015;95.32
Feb 26, 2015;95.34
Feb 25, 2015;94.23
Feb 24, 2015;94.56
Feb 23, 2015;94.66
Feb 20, 2015;94.34
Feb 19, 2015;94.49
Feb 18, 2015;94.26
Feb 17, 2015;94.15
Feb 16, 2015;94.28
Feb 13, 2015;94.28
Feb 12, 2015;94.20
Feb 11, 2015;95.09
Feb 10, 2015;94.85
Feb 09, 2015;94.58
Feb 06, 2015;94.85
Feb 05, 2015;93.73
Feb 04, 2015;94.17
Feb 03, 2015;93.72
Feb 02, 2015;94.73
Jan 30, 2015;95.00
Jan 29, 2015;95.01
Jan 28, 2015;94.73
Jan 27, 2015;94.25
Jan 26, 2015;95.11
Jan 23, 2015;95.05
Jan 22, 2015;94.36
Jan 21, 2015;93.14
Jan 20, 2015;93.35
Jan 19, 2015;92.89
Jan 16, 2015;92.89
Jan 15, 2015;92.61
Jan 14, 2015;92.34
Jan 13, 2015;92.50
Jan 12, 2015;92.18
Jan 09, 2015;92.15
Jan 08, 2015;92.60
Jan 07, 2015;92.11
Jan 06, 2015;91.74
Jan 05, 2015;91.62
Jan 02, 2015;91.38
Dec 31, 2014;90.65
Dec 30, 2014;90.28
Dec 29, 2014;90.50
